,fips_code,hit/no hit,state,AQI index,date
168,6037,no hit,CA,14.028402833333333,2020-10-16
169,6037,no hit,CA,14.364583333333334,2020-10-17
170,6037,no hit,CA,21.49423076923077,2020-10-18
171,6037,no hit,CA,20.372916666666665,2020-10-19
172,6037,no hit,CA,24.14107125,2020-10-20
173,6037,no hit,CA,30.18645833333333,2020-10-21
174,6037,no hit,CA,17.160763833333334,2020-10-22
175,6037,no hit,CA,13.626388916666665,2020-10-23
176,6037,no hit,CA,10.268154785714286,2020-10-24
177,6037,no hit,CA,7.37534725,2020-10-25
178,6037,no hit,CA,18.873611083333333,2020-10-26
179,6037,no hit,CA,26.721875,2020-10-27
180,6037,no hit,CA,19.22118058333333,2020-10-28
181,6037,no hit,CA,16.881597166666666,2020-10-29
182,6037,no hit,CA,15.321471071428572,2020-10-30
183,6037,no hit,CA,17.6381945,2020-10-31
184,6015,hit,CA,1.5916666666666666,2020-08-01
185,6015,hit,CA,2.4083335,2020-08-02
186,6015,hit,CA,4.0,2020-08-03
187,6015,hit,CA,4.041666666666667,2020-08-04
188,6015,hit,CA,4.5208335,2020-08-05
189,6015,hit,CA,5.3166665,2020-08-06
190,6015,hit,CA,9.041666666666666,2020-08-07
191,6015,hit,CA,13.5416665,2020-08-08
192,6015,hit,CA,16.2041665,2020-08-09
193,6015,hit,CA,11.433333333333332,2020-08-10
194,6015,hit,CA,5.9083335,2020-08-11
195,6015,hit,CA,8.8166665,2020-08-12
196,6015,hit,CA,9.4,2020-08-13
197,6015,hit,CA,14.205263,2020-08-14
198,6015,hit,CA,18.618182,2020-08-15
199,6015,hit,CA,12.746031666666669,2020-08-16
200,6015,hit,CA,2.7071430000000003,2020-08-17
201,6015,hit,CA,3.2041665000000004,2020-08-18
202,6015,hit,CA,1.261111,2020-08-19
203,6015,hit,CA,2.1333335,2020-08-20
204,6015,hit,CA,3.0,2020-08-21
205,6015,hit,CA,3.75,2020-08-22
206,6015,hit,CA,4.9083335,2020-08-23
207,6015,hit,CA,4.3166665,2020-08-24
208,6015,hit,CA,6.95,2020-08-25
209,6015,hit,CA,6.6125,2020-08-26
210,6015,hit,CA,9.2041665,2020-08-27
211,6015,hit,CA,10.516666666666666,2020-08-28
212,6015,hit,CA,8.5416665,2020-08-29
213,6015,hit,CA,12.8375,2020-08-30
214,6015,hit,CA,9.477777666666666,2020-08-31
215,6015,hit,CA,9.5416665,2020-09-01
216,6015,hit,CA,1.7458334999999998,2020-09-02
217,6015,hit,CA,2.386111,2020-09-03
218,6015,hit,CA,6.225,2020-09-04
219,6015,hit,CA,10.3166665,2020-09-05
220,6015,hit,CA,18.29444433333333,2020-09-06
221,6015,hit,CA,13.0416665,2020-09-07
222,6015,hit,CA,48.4291665,2020-09-08
223,6015,hit,CA,36.7041665,2020-09-09
224,6015,hit,CA,122.725,2020-09-10
225,6015,hit,CA,169.52083349999998,2020-09-11
226,6015,hit,CA,127.9083335,2020-09-12
227,6015,hit,CA,86.714286,2020-09-13
228,6015,hit,CA,14.369231,2020-09-15
229,6015,hit,CA,5.7458335,2020-09-16
230,6015,hit,CA,2.3166665,2020-09-17
231,6015,hit,CA,7.133333333333333,2020-09-18
232,6015,hit,CA,4.3375,2020-09-19
233,6015,hit,CA,7.2458335,2020-09-20
234,6015,hit,CA,6.044444333333334,2020-09-21
235,6015,hit,CA,5.2041665,2020-09-22
236,6015,hit,CA,6.5,2020-09-23
237,6015,hit,CA,6.427777666666667,2020-09-24
238,6015,hit,CA,7.2458335,2020-09-25
239,6015,hit,CA,4.6333335,2020-09-26
240,6015,hit,CA,7.933333333333334,2020-09-27
241,6015,hit,CA,12.0,2020-09-28
242,6015,hit,CA,28.4291665,2020-09-29
243,6015,hit,CA,41.59166666666667,2020-09-30
244,6015,hit,CA,33.541666500000005,2020-10-01
245,6015,hit,CA,10.7458335,2020-10-02
246,6015,hit,CA,12.313888999999998,2020-10-03
247,6015,hit,CA,12.6333335,2020-10-04
248,6015,hit,CA,9.2136365,2020-10-05
249,6015,hit,CA,55.413889000000005,2020-10-06
250,6015,hit,CA,82.02083350000001,2020-10-07
251,6015,hit,CA,47.3166665,2020-10-08
252,6015,hit,CA,14.733333333333334,2020-10-09
253,6015,hit,CA,6.2458335,2020-10-10
254,6015,hit,CA,6.5416665,2020-10-11
255,6015,hit,CA,3.533333333333333,2020-10-12
256,6015,hit,CA,5.0416665,2020-10-13
257,6015,hit,CA,8.225,2020-10-14
258,6015,hit,CA,6.472222333333334,2020-10-15
259,6015,hit,CA,9.7041665,2020-10-16
260,6015,hit,CA,9.6333335,2020-10-17
261,6015,hit,CA,6.691666666666666,2020-10-18
262,6015,hit,CA,5.7458335,2020-10-19
263,6015,hit,CA,9.2041665,2020-10-20
264,6015,hit,CA,7.719444333333333,2020-10-21
265,6015,hit,CA,8.633333499999999,2020-10-22
266,6015,hit,CA,7.3166665,2020-10-23
267,6015,hit,CA,7.086111,2020-10-24
268,6015,hit,CA,8.929166500000001,2020-10-25
269,6015,hit,CA,9.6125,2020-10-26
270,6015,hit,CA,11.236111,2020-10-27
271,6015,hit,CA,16.9291665,2020-10-28
272,6015,hit,CA,16.908333499999998,2020-10-29
273,6015,hit,CA,11.369444333333334,2020-10-30
274,6015,hit,CA,10.5416665,2020-10-31
275,6073,no hit,CA,12.7491666,2020-08-01
276,6073,no hit,CA,9.4329167,2020-08-02
277,6073,no hit,CA,11.5545833,2020-08-03
278,6073,no hit,CA,12.3029544,2020-08-04
279,6073,no hit,CA,9.4541667,2020-08-05
280,6073,no hit,CA,8.0276269,2020-08-06
281,6073,no hit,CA,8.167916700000001,2020-08-07
282,6073,no hit,CA,9.3720833,2020-08-08
283,6073,no hit,CA,8.7474999,2020-08-09
284,6073,no hit,CA,8.42,2020-08-10
285,6073,no hit,CA,8.9361594,2020-08-11
286,6073,no hit,CA,10.6745833,2020-08-12
287,6073,no hit,CA,10.3483281,2020-08-13
288,6073,no hit,CA,11.0204167,2020-08-14
289,6073,no hit,CA,14.4887501,2020-08-15
290,6073,no hit,CA,12.2775,2020-08-16
291,6073,no hit,CA,13.5179167,2020-08-17
292,6073,no hit,CA,13.5262499,2020-08-18
293,6073,no hit,CA,13.3902717,2020-08-19
294,6073,no hit,CA,13.138636299999998,2020-08-20
295,6073,no hit,CA,15.3073106,2020-08-21
296,6073,no hit,CA,10.9050595,2020-08-22
297,6073,no hit,CA,7.985416599999999,2020-08-23
298,6073,no hit,CA,10.4420834,2020-08-24
299,6073,no hit,CA,10.6771377,2020-08-25
300,6073,no hit,CA,7.747738099999999,2020-08-26
301,6073,no hit,CA,11.82125,2020-08-27
302,6073,no hit,CA,11.4174241,2020-08-28
303,6073,no hit,CA,8.8154167,2020-08-29
304,6073,no hit,CA,7.125416599999999,2020-08-30
305,6073,no hit,CA,7.8925,2020-08-31
306,6073,no hit,CA,7.2594047,2020-09-01
307,6073,no hit,CA,9.2120834,2020-09-02
308,6073,no hit,CA,11.4495672,2020-09-03
309,6073,no hit,CA,15.7917654,2020-09-04
310,6073,no hit,CA,20.395,2020-09-05
311,6073,no hit,CA,20.1199999,2020-09-06
312,6073,no hit,CA,16.117916700000002,2020-09-07
313,6073,no hit,CA,13.0729167,2020-09-08
314,6073,no hit,CA,14.9644204,2020-09-09
315,6073,no hit,CA,14.0883957,2020-09-10
316,6073,no hit,CA,23.3662499,2020-09-11
317,6073,no hit,CA,38.3475,2020-09-12
318,6073,no hit,CA,39.2200001,2020-09-13
