GEO_ID,pop2021
19189,10656.0
31145,10623.0
29181,10617.0
19081,10663.0
13109,10672.0
51183,10763.0
30085,10821.0
40127,10815.0
19115,10749.0
13099,10619.0
31013,10604.0
26097,10906.0
21041,10863.0
38003,10806.0
27075,10986.0
22091,10912.0
37005,11049.0
40103,10933.0
40149,10915.0
51103,10928.0
29223,10914.0
53043,11232.0
54023,10983.0
37187,10892.0
13191,11123.0
13043,11037.0
46079,10851.0
29063,11098.0
21087,11291.0
37043,11309.0
13005,11079.0
13093,10885.0
27165,11135.0
21159,11140.0
40107,11197.0
28065,11134.0
29139,11415.0
21187,11294.0
21171,11233.0
27121,11403.0
17185,11202.0
5041,11090.0
48297,11377.0
51081,11437.0
47039,11391.0
48031,11886.0
30027,11617.0
13149,11565.0
56003,11632.0
28111,11571.0
27033,11569.0
30083,11283.0
51037,11448.0
35051,11502.0
8105,11408.0
40061,11602.0
48387,11555.0
1035,11328.0
38071,11572.0
29067,11732.0
21153,11497.0
29011,11658.0
47087,11750.0
19035,11503.0
26071,11635.0
48475,11194.0
47169,12035.0
17123,11663.0
19165,11770.0
16081,12267.0
20115,11712.0
48445,11754.0
49023,12155.0
16085,12241.0
51133,12029.0
29115,11843.0
30017,11916.0
17061,11843.0
54089,11908.0
19119,12011.0
51111,11926.0
48343,12030.0
19037,11887.0
5081,11944.0
16073,12336.0
28077,11812.0
8099,11996.0
13193,12004.0
21229,12072.0
27071,11941.0
5049,12145.0
53059,12170.0
19175,12018.0
18009,12091.0
26085,12308.0
13079,12153.0
16021,12561.0
21061,12291.0
30043,12470.0
38079,12048.0
48351,12241.0
12043,12234.0
41049,12303.0
48379,12509.0
51131,12085.0
18125,12144.0
17129,12164.0
21219,12285.0
37137,12344.0
19007,12257.0
1119,12164.0
19075,12347.0
21031,12294.0
54063,12332.0
35007,12369.0
5137,12481.0
54007,12247.0
49029,12657.0
48115,12413.0
28161,12415.0
48063,12616.0
30089,12959.0
51735,12574.0
12037,12572.0
13271,12414.0
18131,12339.0
56015,12537.0
13049,12766.0
20001,12464.0
29133,12538.0
13281,12875.0
13023,12607.0
27023,12357.0
29123,12652.0
47101,12857.0
1023,12533.0
21033,12624.0
28135,12366.0
28005,12637.0
21011,12778.0
5061,12698.0
39163,12696.0
47121,13049.0
48487,12731.0
5079,13037.0
22013,12776.0
19197,12785.0
21109,12984.0
17017,12773.0
26039,13204.0
26141,13093.0
48279,12898.0
21233,12813.0
37143,13130.0
49027,13164.0
17125,12881.0
30003,12957.0
21135,12987.0
21197,13133.0
19029,13050.0
1041,13083.0
16079,13612.0
6051,13247.0
20085,13261.0
28013,13018.0
51007,13268.0
29151,13379.0
45009,13189.0
8081,13185.0
17025,13143.0
17087,13463.0
55011,13302.0
40063,13405.0
39111,13329.0
16043,13592.0
51690,13517.0
8007,13790.0
48313,13718.0
53051,13886.0
28041,13630.0
47061,13622.0
17053,13511.0
5065,13911.0
48093,13775.0
12013,13641.0
48455,13827.0
21225,13544.0
37041,13722.0
21025,13553.0
47161,13855.0
17189,13655.0
21175,13820.0
22127,13488.0
56009,13672.0
39115,13682.0
30035,13785.0
48059,14115.0
18111,13808.0
17193,13784.0
51113,13942.0
28147,13836.0
40099,13718.0
48505,13908.0
47033,13979.0
27043,13909.0
27113,13780.0
1075,13689.0
54087,13898.0
12047,13993.0
55099,14050.0
51051,13787.0
13251,14105.0
19005,13926.0
21221,14192.0
37173,14136.0
31185,14244.0
39121,14176.0
27159,14177.0
22027,14038.0
17127,13960.0
45017,14165.0
21065,14092.0
40035,14115.0
19141,14015.0
21119,14053.0
55107,14123.0
40005,14324.0
12045,14363.0
1027,14190.0
40023,14307.0
29039,14496.0
28129,14191.0
54031,14160.0
25019,14491.0
31151,14192.0
16041,14666.0
19023,14332.0
26053,14361.0
20011,14323.0
54103,14170.0
19129,14465.0
29065,14432.0
17139,14510.0
39067,14477.0
56007,14649.0
5021,14350.0
49037,14489.0
19085,14669.0
47015,14553.0
42057,14523.0
12065,14555.0
29117,14755.0
8071,14633.0
17149,14618.0
13159,15278.0
21191,14607.0
51610,14493.0
27129,14608.0
48255,14754.0
48353,14597.0
48389,14487.0
51125,14790.0
38053,13819.0
29073,14791.0
13161,14872.0
19109,14529.0
51043,14881.0
1065,14754.0
27143,14917.0
22059,14834.0
13221,15140.0
21123,15028.0
37121,14963.0
47007,15234.0
22049,14876.0
26011,14975.0
46027,15150.0
48239,15121.0
19079,14887.0
1029,15103.0
35057,15307.0
26113,15130.0
21069,15224.0
40073,15204.0
51005,14986.0
48371,15118.0
19145,15197.0
29121,15183.0
17101,15152.0
22125,15494.0
27135,15258.0
1129,15147.0
51077,15359.0
40095,15594.0
18159,15372.0
18165,15341.0
27127,15366.0
17023,15300.0
54001,15468.0
17039,15341.0
51830,15590.0
29135,15484.0
18013,15552.0
51063,15566.0
28023,15421.0
40117,15741.0
19067,15413.0
55077,15792.0
29155,15236.0
51135,15594.0
17131,15582.0
16047,15772.0
13163,15524.0
19101,15647.0
17015,15698.0
21103,15657.0
27001,15887.0
20139,15768.0
48289,15959.0
8049,15860.0
5141,15694.0
5133,15783.0
17159,15796.0
51025,15940.0
47005,15872.0
47153,16396.0
21045,15866.0
31131,15930.0
20133,15784.0
55003,16107.0
27065,16159.0
29013,16105.0
21203,16115.0
55023,16075.0
6105,16060.0
51750,16499.0
17191,15963.0
12125,16335.0
51011,16353.0
18121,16407.0
5075,16292.0
47181,16409.0
13083,16326.0
55007,16320.0
13027,16270.0
30041,16179.0
13183,17152.0
21127,16290.0
20005,16239.0
1057,16148.0
29143,16035.0
19041,16440.0
28061,16291.0
42105,16259.0
8003,16547.0
5107,15906.0
19047,16193.0
45061,16280.0
18045,16427.0
38077,16560.0
5087,16960.0
16049,17040.0
35053,16311.0
4012,16408.0
55013,16744.0
55129,16752.0
55065,16784.0
19121,16773.0
17147,16753.0
17005,16596.0
19095,16568.0
41001,16847.0
54091,16492.0
5067,16811.0
48395,16958.0
18139,16672.0
51071,16562.0
17045,16520.0
5037,16681.0
23021,17165.0
17187,16531.0
12029,17102.0
51029,16947.0
19083,16708.0
46127,16872.0
21147,16892.0
5089,16978.0
13241,17119.0
28051,16496.0
48415,16824.0
21079,17362.0
8051,17281.0
48145,17313.0
19043,16998.0
54041,16892.0
54065,17221.0
28017,17011.0
19171,16867.0
21161,16931.0
29053,17115.0
29059,17341.0
5001,16722.0
5047,17173.0
6043,17147.0
51685,17002.0
13017,17158.0
1067,17459.0
17181,16923.0
30067,17473.0
13075,17225.0
51520,17054.0
55103,17212.0
5135,17622.0
32013,17648.0
5043,17110.0
8097,17348.0
47023,17504.0
8093,17720.0
37131,17129.0
19055,17510.0
48287,17706.0
17067,17400.0
51141,17602.0
47139,17776.0
31159,17603.0
29163,17761.0
48051,18051.0
28159,17596.0
46065,17694.0
19059,17851.0
48133,17864.0
47075,17694.0
37011,17864.0
53055,18557.0
28007,17742.0
48503,17977.0
37015,17505.0
36097,17752.0
47171,17698.0
51101,18171.0
26079,17979.0
12041,18360.0
51175,18006.0
47091,18170.0
26019,18223.0
5053,18090.0
21207,18156.0
12079,18288.0
13025,18101.0
13011,18562.0
29003,18002.0
55113,18295.0
42093,18087.0
13019,18147.0
29229,18610.0
51570,18273.0
48035,18503.0
20087,18411.0
28031,18279.0
28131,18644.0
20041,18459.0
48163,18436.0
13001,18488.0
37199,18757.0
29186,18588.0
19031,18410.0
51193,18731.0
48117,18329.0
45049,18180.0
47049,18850.0
13171,19080.0
5121,18865.0
22029,18376.0
37185,18762.0
48003,18440.0
17033,18659.0
19157,18586.0
28025,18535.0
8089,18594.0
21097,18950.0
39125,18871.0
27055,18778.0
28141,18750.0
45081,18821.0
21001,18932.0
54047,18363.0
13231,19477.0
40091,19245.0
27161,19000.0
5003,18674.0
29157,18922.0
47085,19211.0
55047,19229.0
6027,18970.0
13133,19536.0
1013,18884.0
1107,18801.0
35041,19019.0
24029,19270.0
46005,19121.0
18123,19316.0
5113,19353.0
16045,19792.0
1091,18996.0
21099,19460.0
20021,19130.0
37149,19656.0
19065,19258.0
29015,19908.0
40001,19414.0
35028,19330.0
19097,19368.0
55067,19502.0
48161,19774.0
22037,19338.0
1087,18895.0
21231,19540.0
21215,19916.0
8015,20074.0
21155,19725.0
49013,19790.0
21213,19718.0
12059,19784.0
13105,19579.0
29217,19595.0
48177,19641.0
56023,20153.0
48253,19873.0
22041,19668.0
13229,19976.0
1099,19648.0
30053,20525.0
17041,19722.0
6063,19915.0
28153,19709.0
48457,20077.0
48123,19918.0
18147,19798.0
47173,20040.0
18117,19830.0
13091,19759.0
55119,19923.0
13303,19785.0
46035,19878.0
47159,20172.0
48337,20409.0
27091,19915.0
5057,19694.0
22083,19805.0
19191,19892.0
13081,19879.0
48057,19727.0
20099,19912.0
22093,19742.0
48489,20316.0
47041,20478.0
13211,20635.0
5149,20155.0
51027,19816.0
21017,20229.0
21051,20206.0
35027,20436.0
18015,20444.0
54043,20126.0
48285,20544.0
40153,20205.0
19087,20387.0
21027,20651.0
18049,20386.0
56041,20635.0
37079,20417.0
18075,20248.0
49007,20372.0
48233,20495.0
55061,20543.0
48089,20630.0
45011,20580.0
25007,21097.0
19019,20657.0
51079,20968.0
21003,20797.0
53001,20621.0
13199,20793.0
19105,20805.0
55001,20875.0
22077,20356.0
19027,20692.0
